date,confirmed,deaths,new_confirmed,new_deaths,new_confirmed_7dma,new_deaths_7dma,cfr
2020-08-23,23464360,867145,202759,4307,249925.7142857143,5834.428571428572,0.036955834295075596
2020-08-24,23692460,872002,228200,4857,252114.0,5867.857142857143,0.03680504261693383
2020-08-25,23937668,878565,245208,6563,250086.0,5797.428571428572,0.036702196721919614
2020-08-26,24219359,885102,281691,6654,250688.42857142858,5830.285714285715,0.036545228137540714
2020-08-27,24506622,891317,287263,6215,252943.28571428574,5800.0,0.036370455299796114
2020-08-28,24790561,897142,285287,5825,256276.7142857143,5744.285714285714,0.03618885429821455
2020-08-29,25051295,902930,260734,5788,255877.42857142858,5744.142857142857,0.036043246466899215
2020-08-30,25271033,907204,219738,4274,258303.0,5739.428571428572,0.03589896780238465
2020-08-31,25535340,911637,264307,4433,263461.14285714284,5678.857142857143,0.035700993211760644
2020-09-01,25802224,918238,266884,6609,266557.7142857143,5685.428571428572,0.03558755245284283
2020-09-02,26084114,924555,281902,6320,266587.85714285716,5637.714285714285,0.03544513722030198
2020-09-03,26369544,930655,285430,6100,266326.0,5621.285714285715,0.03529279838892929
2020-09-04,26671276,936495,301732,5861,268675.28571428574,5626.428571428572,0.035112493305532136
2020-09-05,26944997,941588,273721,5093,270530.5714285714,5527.142857142857,0.03494481739968277
2020-09-06,27173995,945723,228998,4135,271853.4285714286,5507.285714285715,0.03480250143565567
2020-09-07,27391278,955346,225236,9623,266271.85714285716,6248.714285714286,0.03487774466017978
2020-09-08,27637790,960469,246512,5123,263361.5714285714,6036.428571428572,0.034752018884288506
2020-09-09,27923100,966734,285310,6265,263848.4285714286,6028.571428571428,0.034621299211047486
2020-09-10,28227493,972736,304393,6033,266557.4285714286,6019.0,0.03446058776810254
2020-09-11,28543855,978735,316362,6000,268647.4285714286,6038.857142857143,0.03428881627937081
2020-09-12,28832580,983793,288725,5058,270790.85714285716,6033.857142857143,0.034120879921255745
2020-09-13,29081415,987756,248835,3963,273624.7142857143,6009.285714285714,0.03396519736058235
2020-09-14,29348555,992363,267140,4607,279611.0,5292.714285714285,0.033813010555374876
2020-09-15,29629107,998925,280552,6562,284473.85714285716,5498.285714285715,0.033714313428345986
2020-09-16,29934059,1004793,304952,5868,287279.85714285716,5441.571428571428,0.03356688112360572
2020-09-17,30249632,1010441,315573,5648,288877.0,5386.571428571428,0.03340341462666389
2020-09-18,30576278,1016293,326646,5852,290346.14285714284,5365.428571428572,0.03323795656227354
2020-09-19,30869397,1021566,293119,5273,290973.85714285716,5396.142857142857,0.03309316343302721
2020-09-20,31124526,1025548,255129,3982,291873.0,5398.857142857143,0.03294983512359353
2020-09-21,31384435,1029976,259909,4428,290840.0,5373.285714285715,0.03281805136845701
2020-09-22,31668754,1036127,284319,6151,291378.14285714284,5314.571428571428,0.03271764339070618
2020-09-23,31980407,1042678,311653,6551,292335.4285714286,5412.142857142858,0.03260365010364002
2020-09-24,32301360,1048346,320953,5668,293104.0,5415.0,0.03245516597443575
2020-09-25,32631974,1054363,330614,6017,293670.85714285716,5438.571428571428,0.032310733025222436
2020-09-26,32918085,1059795,286111,5432,292669.71428571426,5461.285714285715,0.032194916563342
2020-09-27,33165079,1063680,247086,3885,291520.7142857143,5447.428571428572,0.03207228904836922
2020-09-28,33426328,1067794,261249,4114,291712.14285714284,5402.571428571428,0.03194469939982639
2020-09-29,33709128,1073842,282800,6048,291495.14285714284,5387.857142857143,0.03185611920901662
2020-09-30,34033675,1080268,324547,6426,293337.14285714284,5370.0,0.031741150492857445
2020-10-01,34352787,1089162,319112,8894,293074.14285714284,5830.857142857143,0.0317052005125523
2020-10-02,34682292,1094892,329505,5735,292915.71428571426,5790.571428571428,0.03156919386988611
2020-10-03,34979647,1099676,297355,4784,294522.0,5698.0,0.03143759569672044
2020-10-04,35240179,1103717,260532,4041,296442.85714285716,5720.285714285714,0.031319846587612395
2020-10-05,35551524,1110806,311345,7089,303599.4285714286,6145.285714285715,0.031244961538076398
2020-10-06,35867647,1116668,316123,5862,308359.85714285716,6118.714285714285,0.031133015221210356
2020-10-07,36216841,1122589,349194,5924,311880.85714285716,6047.0,0.03099632571487944
2020-10-08,36576162,1128972,359321,6386,317625.0,5688.714285714285,0.030866333105151928
2020-10-09,36936565,1135152,360403,6180,322039.0,5752.285714285715,0.030732473363454343
2020-10-10,37292089,1140057,355524,4905,330348.85714285716,5769.571428571428,0.030571014672843885
2020-10-11,37581583,1144252,289494,4195,334486.28571428574,5791.571428571428,0.030447147476464737
2020-10-12,37871608,1148379,290025,4127,331440.5714285714,5368.428571428572,0.030322953279406567
2020-10-13,38190980,1153728,319372,5349,331904.7142857143,5295.142857142857,0.030209436887977212
2020-10-14,38571764,1159891,380784,6163,336417.5714285714,5329.285714285715,0.03007098664193839
2020-10-15,38978760,1166100,406996,6209,343228.2857142857,5304.0,0.029916292873349487
2020-10-16,39389280,1172313,410520,6213,350387.85714285716,5308.714285714285,0.029762234800940764
2020-10-17,39761413,1178040,372133,5727,352760.5714285714,5426.142857142857,0.029627719719115615
2020-10-18,40092656,1181999,331243,3959,358724.71428571426,5392.428571428572,0.029481683628044
2020-10-19,40467606,1186841,374950,4842,370856.85714285716,5494.571428571428,0.029328174243863105
2020-10-20,40856480,1193465,388874,6624,380785.71428571426,5676.714285714285,0.029211155733435676
2020-10-21,41296091,1200368,439611,6903,389189.5714285714,5782.428571428572,0.02906735167742632
2020-10-22,41778168,1206346,482077,5978,399915.4285714286,5749.428571428572,0.02887503348638935
2020-10-23,42272069,1213450,493901,7104,411827.0,5876.714285714285,0.028705715823845766
2020-10-24,42728414,1219368,456345,5918,423857.28571428574,5904.0,0.028537637741480413
2020-10-25,43087247,1223733,358833,4386,427798.71428571426,5965.0,0.028401280778045532
2020-10-26,43570291,1229572,483044,5839,443240.7142857143,6107.428571428572,0.028220422030231562
2020-10-27,44038754,1236958,468463,7386,454610.5714285714,6216.285714285714,0.028087942724265087
2020-10-28,44560523,1244133,521769,7181,466347.4285714285,6256.0,0.027920071763969198
2020-10-29,45111898,1251370,551375,7237,476247.14285714284,6435.857142857143,0.027739245198683506
2020-10-30,45683640,1259145,571742,7775,487367.28571428574,6531.714285714285,0.027562273934388766
2020-10-31,46155745,1265816,472105,6671,489618.71428571426,6639.285714285715,0.027424885027855145
2020-11-01,46594934,1271172,439189,5356,501098.1428571429,6777.857142857143,0.027281334919371278
2020-11-02,47143303,1277629,548369,6457,510430.28571428574,6866.142857142857,0.02710096490269254
2020-11-03,47708817,1287201,565514,9574,524294.7142857143,7178.714285714285,0.026980358787768725
2020-11-04,48200961,1297094,538265,9927,526651.2857142857,7571.0,0.026910127372771677
2020-11-05,48820295,1305834,619335,8740,536359.8571428572,7785.714285714285,0.02674776954952853
2020-11-06,49443478,1314990,623183,9156,543708.5714285715,7983.0,0.026595823214540047
2020-11-07,50042669,1322776,599191,7786,561863.7142857143,8142.285714285715,0.02643296263834369
2020-11-08,50533518,1329177,490849,6402,569243.7142857143,8291.714285714286,0.026302878814018053
2020-11-09,51043324,1336758,509806,7581,563734.7142857143,8452.285714285714,0.02618869413755264
2020-11-10,51614069,1346533,570745,9775,564482.0,8481.0,0.026088487617591243
2020-11-11,52238734,1356950,624665,10417,576824.8571428572,8551.0,0.02597593578741782
2020-11-12,52878929,1366665,640195,9715,579804.8571428572,8690.285714285714,0.02584517171291423
2020-11-13,53539863,1376562,660934,9897,585197.8571428572,8796.142857142857,0.025710973522662918
2020-11-14,54126889,1385731,587026,9169,583460.0,8993.714285714286,0.025601526812302107
2020-11-15,54617117,1392659,490228,6928,583371.2857142857,9068.857142857143,0.025498581333027886
2020-11-16,55142751,1400713,525634,8054,585632.4285714285,9136.42857142857,0.02540157998283401
2020-11-17,55745063,1411682,602312,10969,590142.0,9307.0,0.025323892808229494
2020-11-18,56367328,1423148,622265,11466,589799.1428571428,9456.857142857143,0.025247746354058152
2020-11-19,57021314,1434288,653986,11140,591769.2857142857,9660.428571428572,0.025153541708982714
2020-11-20,57695345,1446066,674031,11778,593640.2857142857,9929.142857142857,0.025063824473187567
2020-11-21,58287916,1455371,592571,9305,594432.4285714285,9948.57142857143,0.024968657311405677
2020-11-22,58785996,1463040,498080,7669,595554.1428571428,10054.428571428572,0.024887559955605754
2020-11-23,59320006,1471765,534010,8725,596750.7142857143,10150.285714285714,0.02481060099690482
2020-11-24,59910792,1484276,590786,12511,595104.1428571428,10370.57142857143,0.024774768459078292
2020-11-25,60527871,1496269,617079,11993,594363.2857142857,10445.857142857143,0.024720330903427942
2020-11-26,61117132,1507211,589261,10942,585116.8571428572,10417.57142857143,0.02466102303360701
2020-11-27,61812474,1518732,695342,11521,588161.2857142857,10380.857142857143,0.024569992134597297
2020-11-28,62420041,1528249,607567,9517,590303.5714285714,10411.142857142857,0.02448330657136223
2020-11-29,62915662,1535902,495621,7653,589952.2857142857,10408.857142857143,0.02441207723444124
2020-11-30,63422239,1544981,506577,9079,586033.2857142857,10459.42857142857,0.024360240577441614
2020-12-01,64037142,1557368,614903,12387,589478.5714285715,10441.714285714286,0.024319761178598506
